"message_from","message_date"
"KarenCooksIt","2010-01-22 13:27:44"
"yimjsj","2010-01-22 13:27:38"
"Cars4Causes","2010-01-22 13:27:35"
"YvesPBernard","2010-01-22 13:27:34"
"AfrikanBoy","2010-01-22 13:27:33"
"lrlee","2010-01-22 13:27:32"
"joygreenmcgann","2010-01-22 13:27:32"
"lidia_aguiar","2010-01-22 13:27:25"
"aitchlala","2010-01-22 13:27:23"
"rainmakertom","2010-01-22 13:27:22"
"Prisonbreaknews","2010-01-22 13:27:20"
"PATHtweets","2010-01-22 13:27:17"
"sjhuffman","2010-01-22 13:27:13"
"QuakeInHaiti","2010-01-22 13:27:07"
"ISOHIMPACT","2010-01-22 13:27:05"
"Annie_UNOTV","2010-01-22 13:27:04"
"tayloradamswift","2010-01-22 13:27:01"
"nocontesta","2010-01-22 13:27:00"
"sceaterian","2010-01-22 13:26:59"
"RyanChatterton","2010-01-22 13:26:56"
"luciavaleska","2010-01-22 13:26:53"
"JBLozier","2010-01-22 13:26:51"
"shonali","2010-01-22 13:26:51"
"SarahEOlson2009","2010-01-22 13:26:50"
"WinnFeline","2010-01-22 13:26:49"
"E_A_N_N","2010-01-22 13:26:49"
"catvetsusan","2010-01-22 13:26:48"
"marygazze","2010-01-22 13:26:39"
"KatieSimp","2010-01-22 13:26:34"
"ellysetexas","2010-01-22 13:26:33"
"acfusa","2010-01-22 13:26:31"
"bethematch","2010-01-22 13:26:30"
"thatgirlbelle","2010-01-22 13:26:28"
"luisaaj","2010-01-22 13:26:27"
"AudreyLizeth","2010-01-22 13:26:25"
"QuakeInHaiti","2010-01-22 13:25:24"
"QuakeInHaiti","2010-01-22 13:23:30"
"QuakeInHaiti","2010-01-22 13:21:30"
"ChrisMorphew","2010-01-22 13:20:46"
"QuakeInHaiti","2010-01-22 13:19:30"
"QuakeInHaiti","2010-01-22 13:18:01"
"QuakeInHaiti","2010-01-22 13:16:17"
"QuakeInHaiti","2010-01-22 13:14:32"
"QuakeInHaiti","2010-01-22 13:12:19"
"QuakeInHaiti","2010-01-22 13:09:47"
"QuakeInHaiti","2010-01-22 13:07:12"
"QuakeInHaiti","2010-01-22 13:04:54"
"QuakeInHaiti","2010-01-22 13:03:03"
