from_user,tweets
heidibezanson,1
heathermingus,1
hawkgirl98,1
HashTagForHaiti,1
happytrails2U,1
haitimobile,1
HaitiBibleMssn,1
HABNET,1
gvaval,1
griseldamb,1
Greytdog,1
Gregoreuo,1
gilleslive,1
GiGiCapone,1
GeorgeBushNews,1
galacticflyer,1
gabeleadley,1
FreeRangeTalk,1
freeMurphy,1
FranceGlobal,1
foto8,1
fluffyhoneybee,1
Finch93,1
fcummings,1
fannyroy,1
Eusebio52,1
EstherOwens,1
e_Mom,1
elvisdisla,1
Elfiem,1
ElectofYah,1
elavalliere,1
elamar,1
EgOmolina,1
edpritch,1
ecoflo,1
eatlaughlive,1
earthshook,1
dryrooster,1
DrKatyBeth,1
DraPatch,1
dramaqueene,1
douglaspaul,1
douglas_kaplan,1
_doug_doug,1
DonaBogart,1
Dirk_Landau,1
dilesmy,1
diana_true,1
DG9BEB,1
detaildevils,1
derekspalla,1
DenisEvents,1
dee121212,1
DavidVilchez,1
DanielOMiller,1
crlorchid10,1
CoolRaven,1
Citriko,1
cherrireddick,1
Chapeltalk,1
chantaljura,1
CF_20,1
cemalozunalan,1
CecileMarre,1
cchangeDc,1
Catballou,1
castillodaiana,1
Cassarah_,1
Carol_Waters,1
CapoDaBoss,1
caotr,1
Brownloather,1
BrendaFarrell,1
BP_TOW,1
BonnieBakes,1
boniru,1
blushbaybee,1
BlueEmperor,1
blkbird77,1
BlessChildHaiti,1
berniie9,1
bemusedmuse,1
belishore,1
beccalexis,1
BbOyJo3,1
Barefooties,1
barbaraslavin,1
awesomealex21,1
astridhenderson,1
Assorossi,1
ASSIYYA,1
asoutherngirl,1
aquarian_lady,1
aqlili,1
aprilucox,1
annir91,1
annabeliux,1
anitasantiago,1
angsuman,1
Angel4Autism,1
andrejverity,1
Amore_Mi0,1
AMCAC09,1
allenypfong,1
alismama,1
Alema84,1
Akula88,1
AdoReSanKofa,1
ada85,1
acartoffood,1
916Maverick,1
6c4,1
411initiative,1
TOTAL,7500
