"message_from","tweet_count"
"jwells18",9
"crisiscamppdx",9
"KBellaCullen",9
"CrisisCampSV",9
"Kelsey_Grammer",9
"Andjelija",9
"kindernothilfe",9
"blackeyedskeez",9
"kingkaps7",9
"blah_32",9
"Kristi_Beckman",9
"Anna_Beatriz_G",9
"laurenstav",9
"bonnie67",9
"littlefoxy",9
"ad_all4one",9
"marcocosimi",9
"a_picazo",9
"MarinaMav",9
"AprilAlcaide",9
"Marvelous1908",9
"cacildanc",9
"Meganutts",9
"armandoaanache",9
"michaelrobison",9
"Caranolis",9
"ModelSupplies",9
"catchcheat",9
"Monika_33",9
"Audiegrl",9
"mpijets",9
"CharityNav",9
"Dayngr",9
"ChildCareUSA",9
"nateerickson",9
"ahuntre",9
"nakazawa76",9
"amycarolwolff",9
"NaydineK",9
"BeautyBotanic",9
"sephir0t",9
"convoyofhope",9
"service4peaceUS",9
"Sexyoreo6692",9
"nieskedejonge",9
"Ndege",9
"novaluno",9
"PADRE2425",9
"pamybayy",9
"pcabrera",9
"pionirka",9
"plasticmadness",9
"Poeticmusic2u",9
"rncook1",9
"rgoldstand",9
"San_Nicolas",9
"BENatDAP",8
"Daniel_Boecking",8
"besade",8
"daviddesola",8
"crisiscamp",8
"dougharty",8
"bestservers",8
"dowhatyamust",8
"CRUKWALTON",8
"Ed",8
"cvallejo64",8
"eblessings",8
"cybergrrr",8
"ECrespoM",8
"bibinetallez",8
"edatpost",8
"biscouna",8
"EdnaAtNutro",8
"BizPDX",8
"ejturnbull",8
"A_Creighton",8
"ElevateU",8
"10WeekRetiremen",8
"eTopUpOnline",8
"anigamBuzzBox",8
"EvertB",8
"2BlueStarMom",8
"fighthunger",8
"anitasantiago",8
"FlacoShalom",8
"AnnaMano",8
"fondapol",8
"bonhamled",8
"franfast",8
"BOOK4CHANGE",8
"gergilroy",8
"bootslevinson",8
"globalalert",8
"brandale2221",8
"Glossology",8
"bretta75",8
"glowmoment",8
"BreukieSays",8
"GoodTwitty",8
"anydel",8
"greenlasagna",8
"Ad_Chickadee",8
"guyadams",8
"CAFalk",8
"habitatlac",8
"arjanelfassed",8
"haitinewsblog",8
"carlabond",8
"heerbol",8
"CarlosMiranda",8
"iDharma",8
"allisonkilkenny",8
"jandroid",8
"cat_laine",8
"ishtarmuz",8
"alpinelarkspur",8
"itsniquey",8
"Alyssa_Milano",8
"Jenna_Wade",8
"cheymarlymom",8
"jokru",8
"ChillCity",8
"JorgitoCruz",8
"1WarriorPrincss",8
"jordidemiguel",8
"christinadams",8
"JornalExtra",8
"clickflickca",8
"jwashington37",8
"collazoprojects",8
"kaizencoach",8
"cookitaly",8
"KarlettaA",8
"usuyu_work",8
"Kaylias",8
"StripesBaron",8
"KING5Seattle",8
"stefaniewood",8
"Lalusa",8
"tekhelet",8
"Law247",8
"tfrantsvold",8
"laylaanwar",8
"studentbuddha",8
"LexyLeahy",8
"Williamm49",8
"Liam_Fox",8
"wendycarrillo",8
"LilacGirl2",8
"Wary12",8
"lilsean",8
"SupermanHotMale",8
"lisaisabelle",8
"tonyalmq",8
"Lokie28",8
"socinformacion",8
"lpolgreen",8
"yywhy",8
"LudCortez",8
"Vic_esmas",8
"mariejugag",8
"_Soliloquy_",8
"MarkDowe2010",8
"vitri",8
"mattsunday",8
"SwaggerRemix",8
"mediamentor",8
"TdhInfoCenter",8
"Michael_Keizer",8
"ufo4u",8
"michaelharrison",8
"zench",8
"michaeldbobo",8
"ZerlinaM",8
"michellemaura",8
"yourwinner",8
"misslhill",8
"YOURiMusique",8
"missmeblind",8
"yeahthatskosher",8
"Missy_Plastic",8
"utbrp",8
"mjmutuma",8
"tc786tc",8
"MO_Fashion",8
"The_ASC",8
"natalieolofsson",8
"naijacandy",8
"SecyClintonblog",8
"nikegoal",8
"NvrComfortable",8
"octavianasrCNN",8
"OperationAyiti",8
"oxfamamerica",8
"Pedro_Castro",8
"PHHOrg2010",8
"PostWorldNews",8
"prayingtogether",8
"PmasDH",8
"QcprieQcprays",8
"queenochaos",8
"readtoday",8
"RedCrossSELA",8
"RedUruguaya",8
"RegBazile",8
"Re_Morango",8
"RescueJacmel",8
"ReseauHaitien",8
"RonyCamille",8
"Rubyslprz_Cons",8
"Ruster",8
"sacns",8
"sandracamara",8
"TaiSaintBoogie",7
"DanCruver",7
"YOKEELEE",7
"dannybrown",7
"Sin2Go",7
"davidwearing",7
"taralconley",7
"DefYuri",7
"SREmexico",7
"dejerusalem",7
"UNICEFgermany",7
"delwilliams",7
"vhernandezcnn",7
"de_montecristo",7
"WriteOnRideOn",7
"DennisJStewart",7
"WriterRoxanne",7
"diariolaprensa",7
"sjean70",7
"digiphile",7
"WillyValk",7
"dncossio",7
"swichman",7
"Do_good_deeds",7
"swampcottage",7
"DokteCoffee",7
"Sinceez",7
"donnamct",7
"_Susan",7
"DonnaJPortland",7
"webaddict",7
"donnam13",7
"winecountrydog",7
"doveabv003",7
"theirc",7
"downeym",7
"thatjonesgirl",7
"dr_alarcon",7
"TheFireTracker2",7
"dyingnumbers",7
"themadonna1",7
"earthspeakorg",7
"TinaVane",7
"E_A_N_N",7
"TJWeissel",7
"edgery",7
"twnstar2",7
"eduard0castro",7
"tayfan2",7
"eggheader",7
"TaviCalvete",7
"Eifelrabe",7
"tenutophoto",7
"electric_wave",7
"winewatcher",7
"ElliFordyce2",7
"swilly2009",7
"emeka_okafor",7
"sistolediastole",7
"enestemundo",7
"VIDAUSA",7
"erickbrn16",7
"Wonderlandvirus",7
"eshovelz",7
"usembassylondon",7
"eugenephotoblog",7
"sscoop4",7
"fernandocollor",7
"txvoodoo",7
"fiorellalucca",7
"TweetAnnounce",7
"firojbd",7
"STWuk",7
"FluTrackers",7
"zionboy777",7
"FredoFran",7
"y_mizuno",7
"fsnchz81",7
"YaraMariaBrasil",7
"gabbycat",7
"zebrafinch",7
"gem2001",7
"tyraskids",7
"gjeffbarnes",7
"unslugged",7
"GourmetRambler",7
"smokyhead",7
"GrayRiv",7
"AnaStenger",7
"happiness6",7
"Ben_Rand",7
"harlechnnorfolk",7
"airshaid",7
"HeatherLaGarde",7
"andiwasall",7
"helpsavelives",7
"CURVYQUEEN",7
"HomesByThomas",7
"Andressa_Kaffia",7
"hotmami2008",7
"bhabb",7
"humbertolima64",7
"big_zeke01",7
"hypedog1",7
"acfspain",7
"IamLodiDodi",7
"black_dove",7
"iluvblackwomen",7
"blaktivist",7
"Islamic_Relief",7
"alara95",7
"Israel_Chai",7
"bluedevstr",7
"Jean_ie",7
"AniPalmo",7
"jenniferBuzzBox",7
"bobbycabby",7
"jenvargas",7
"alconsumidor",7
"JIDF",7
"ALDITH_HUNKAR",7
"JJWoodyNYC",7
"annabeliux",7
"joanrig",7
"annalisaitv",7
"johnalexwood",7
"8s",7
"johnpbuckner",7
"annhoff",7
"karenzach",7
"BraveKidsVoices",7
"khazelton",7
"999clementine",7
"kiwanja",7
"BunnyMellon",7
"kurtismarsh",7
"caa1000",7
"L8news",7
"caffeinehusky",7
